# Topologies for the library: topology_mining_and_Longxing_chip_4
# Author: Hugh Haddox
# Index: topology_mining_and_Longxing_chip_4.index.csv
library,name,topology
topology_mining_and_Longxing_chip_4,run4939_20171122224922,EEHEE
topology_mining_and_Longxing_chip_4,run315_20171122221427,EEHEE
topology_mining_and_Longxing_chip_4,heeh786_20171116044957,HEEH
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_05_0463_0001_0001,1a3b
topology_mining_and_Longxing_chip_4,run2906_20171124100738,EEHEE
topology_mining_and_Longxing_chip_4,relaxed_pairs0A6B004C_B_A_F_E_D-52-0o80_0001,0a6b
topology_mining_and_Longxing_chip_4,des__f_singl_2a3b_09_0136_0001_0003,2a3b
topology_mining_and_Longxing_chip_4,relaxed_singles2A3B10centroidA_B_C_D_E-53-2o80_0001,2a3b
topology_mining_and_Longxing_chip_4,relaxed_singles1A3B02centroidD_C_B_A-36-1p40_0001,1a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_042_0387_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs1A3B150A_C_B_D-31-4pcp40_0001,1a3b
topology_mining_and_Longxing_chip_4,run1611_20171124154354,EEHEE
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_007_0041_0001_0001,1a3b
topology_mining_and_Longxing_chip_4,run1734_20171122172611,EEHEE
topology_mining_and_Longxing_chip_4,relaxed_pairs1A2B034B_C_A-38-0pc80_0001,1a2b
topology_mining_and_Longxing_chip_4,relaxed_singles1A3B01alternateB_C_A-30-1o40_0001,1a3b
topology_mining_and_Longxing_chip_4,des_singl_2a2b-Nterm01c-37-C1003_0003,2a2b
topology_mining_and_Longxing_chip_4,run462_20171122124634,EEHEE
topology_mining_and_Longxing_chip_4,run240_20171123093842,EEHEE
topology_mining_and_Longxing_chip_4,des__f_singl_1a4b_02_0154_0001_0003,1a4b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_042_0158_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,run3733_20171125055125,EEHEE
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_13_0306_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs1A3B042C_D_A_B-36-1pcp40_0001,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs1A4B031E_C_A_B_D-48-0pc40_0001,1a4b
topology_mining_and_Longxing_chip_4,run1045_20171108080342,EHEE
topology_mining_and_Longxing_chip_4,run3964_20171124014950,EEHEE
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_13_0499_0001_0001,1a3b
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_09_0428_0001_0001,1a3b
topology_mining_and_Longxing_chip_4,heeh351_20171126172953,HEEH
topology_mining_and_Longxing_chip_4,run2696_20171123051915,EEHEE
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_00_0304_0001_0001,1a3b
topology_mining_and_Longxing_chip_4,run4597_20171111002137,EHEE
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_007_0022_0001_0001,1a3b
topology_mining_and_Longxing_chip_4,run269_20171123232620,EEHEE
topology_mining_and_Longxing_chip_4,des__f_pairs_2a2b_059_0254_0001_0002,2a2b
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_05_0204_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_4a0b_030_0291_0001_0001,4h
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_09_0290_0001_0001,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs1A2B001B_A_C-31-1o40_0001,1a2b
topology_mining_and_Longxing_chip_4,run403_20171122160332,EEHEE
topology_mining_and_Longxing_chip_4,heeh3680_20171128023345,HEEH
topology_mining_and_Longxing_chip_4,des_singl_2a2b-Nterm02c-37-C1212_0001,2a2b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_128_0322_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_02_0432_0001_0002,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs2A3B060A_B_C_D_E-46-1pc80_0001,2a3b
topology_mining_and_Longxing_chip_4,heeh4495_20171130222234,HEEH
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_007_0254_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,relaxed_singles1A3B07alternateC_A_B_D-36-1p_0001,1a3b
topology_mining_and_Longxing_chip_4,heeh1499_20171128074239,HEEH
topology_mining_and_Longxing_chip_4,relaxed_pairs1A3B150D_B_C_A-32-4o60_0001,1a3b
topology_mining_and_Longxing_chip_4,des__f_singl_2a2b_06_0210_0001_0003,2a2b
topology_mining_and_Longxing_chip_4,relaxed_pairs1A3B042B_C_D_A-36-3pcp_0001,1a3b
topology_mining_and_Longxing_chip_4,relaxed_singles2A3B13centroidD_C_E_B_A-54-4pcp80_0001,2a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs5A0B000C_A_D_B-51-1o_0001,5a0b
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_02_0341_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs1A3B018C_B_D_A-37-0o_0001,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs1A2B000A_B_C-31-3o40_0001,1a2b
topology_mining_and_Longxing_chip_4,des_pairs_1a3b-267-35-645_0003,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs2A2B080D_A_B_C-44-0p80_0001,2a2b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a4b_039_0314_0001_0002,1a4b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_042_0184_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,run2462_20171114063354,EHEE
topology_mining_and_Longxing_chip_4,relaxed_pairs3A0B044A_C_B-38-2pcp40_0001,HHH
topology_mining_and_Longxing_chip_4,relaxed_pairs3A0B033C_B_A-32-0pcp80_0001,HHH
topology_mining_and_Longxing_chip_4,relaxed_singles2A3B07alternateA_B_C_D_E-42-0pcp60_0001,2a3b
topology_mining_and_Longxing_chip_4,relaxed_singles0A6B01centroidC_B_A_D_E-48-4pcp60_0001,0a6b
topology_mining_and_Longxing_chip_4,des__f_singl_2a3b_01_0002_0001_0001,2a3b
topology_mining_and_Longxing_chip_4,relaxed_singles1A3B01alternateC_A_B-33-0pcp80_0001,1a3b
topology_mining_and_Longxing_chip_4,run689_20171122141512,EEHEE
topology_mining_and_Longxing_chip_4,des_pairs_1a3b-267-35-558_0004,1a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a4b_045_0006_0001_0001,1a4b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_109_0506_0001_0002,1a3b
topology_mining_and_Longxing_chip_4,des_pairs_1a2b-205-32-584_0004,1a2b
topology_mining_and_Longxing_chip_4,relaxed_singles2A3B00centroidD_A_B_C_E-52-0o_0001,2a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a4b_045_0266_0001_0002,1a4b
topology_mining_and_Longxing_chip_4,relaxed_singles2A2B05alternateA_B_C_D-54-0o80_0001,2a2b
topology_mining_and_Longxing_chip_4,relaxed_singles2A3B10centroidA_B_C_D_E-53-4pc80_0001,2a3b
topology_mining_and_Longxing_chip_4,run1237_20171125024738,EEHEE
topology_mining_and_Longxing_chip_4,des_singl_1a3b-Nterm01c-34-C56_0001,1a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_007_0397_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs3A0B031A_B_C-36-1pc40_0001,HHH
topology_mining_and_Longxing_chip_4,run1117_20171125150833,EEHEE
topology_mining_and_Longxing_chip_4,heeh3849_20171201040442,HEEH
topology_mining_and_Longxing_chip_4,des_singl_2a2b-Nterm02c-38-C1241_0005,2a2b
topology_mining_and_Longxing_chip_4,relaxed_pairs2A3B067A_B_C_E_D-56-0p_0001,2a3b
topology_mining_and_Longxing_chip_4,heeh4074_20171127193843,HEEH
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_04_0014_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,des__f_singl_1a4b_02_0234_0001_0003,1a4b
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_13_0015_0001_0002,1a3b
topology_mining_and_Longxing_chip_4,des_singl_1a3b-Nterm01c-35-C23_0003,1a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_2a2b_022_0008_0001_0003,2a2b
topology_mining_and_Longxing_chip_4,heeh3303_20171112025151,HEEH
topology_mining_and_Longxing_chip_4,run1339_20171105193743,EHEE
topology_mining_and_Longxing_chip_4,des__f_singl_2a4b_00_0067_0001_0001,2a4b
topology_mining_and_Longxing_chip_4,run4878_20171106163220,EHEE
topology_mining_and_Longxing_chip_4,relaxed_pairs1A3B150C_A_D_B-34-1pcp_0001,1a3b
topology_mining_and_Longxing_chip_4,run213_20171124100315,EEHEE
topology_mining_and_Longxing_chip_4,relaxed_singles2A3B13centroidD_C_E_B_A-54-2pc40_0001,2a3b
topology_mining_and_Longxing_chip_4,des__f_singl_3a0b_07_0316_0001_0003,HHH
topology_mining_and_Longxing_chip_4,run2959_20171109224553,EHEE
topology_mining_and_Longxing_chip_4,relaxed_pairs1A3B128D_C_A_B-39-0p40_0001,1a3b
topology_mining_and_Longxing_chip_4,run3669_20171123033142,EEHEE
topology_mining_and_Longxing_chip_4,des__f_singl_2a4b_00_0423_0001_0003,2a4b
topology_mining_and_Longxing_chip_4,run4906_20171124015103,EEHEE
topology_mining_and_Longxing_chip_4,run4609_20171123003901,EEHEE
topology_mining_and_Longxing_chip_4,des_singl_1a3b-Nterm01c-35-C135_0005,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs0A6B004C_B_A_F_E_D-44-1pc60_0001,0a6b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_267_0404_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,relaxed_singles1A3B04alternateB_C_A-41-2p40_0001,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs0A6B060B_A_C_F_E_D-50-1pcp60_0001,0a6b
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_09_0392_0001_0002,1a3b
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_05_0059_0001_0001,1a3b
topology_mining_and_Longxing_chip_4,run849_20171125153340,EEHEE
topology_mining_and_Longxing_chip_4,relaxed_pairs0A6B004C_B_A_F_E_D-45-1o40_0001,0a6b
topology_mining_and_Longxing_chip_4,relaxed_pairs0A6B004C_B_A_F_E_D-51-1o_0001,0a6b
topology_mining_and_Longxing_chip_4,relaxed_pairs2A3B060A_B_C_D_E-49-1o_0001,2a3b
topology_mining_and_Longxing_chip_4,run4674_20171125141731,EEHEE
topology_mining_and_Longxing_chip_4,run97_20171106122839,EHEE
topology_mining_and_Longxing_chip_4,des_pairs_1a3b-267-35-302_0002,1a3b
topology_mining_and_Longxing_chip_4,relaxed_singles2A3B07alternateA_B_C_D_E-43-2pcp_0001,2a3b
topology_mining_and_Longxing_chip_4,heeh318_20171127210329,HEEH
topology_mining_and_Longxing_chip_4,run1733_20171122170251,EEHEE
topology_mining_and_Longxing_chip_4,relaxed_singles1A4B02centroidA_B_C_D_E-52-2p60_0001,1a4b
topology_mining_and_Longxing_chip_4,des__f_singl_2a3b_01_0359_0001_0002,2a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs3A0B027C_B_A-43-4pc60_0001,HHH
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_13_0022_0001_0002,1a3b
topology_mining_and_Longxing_chip_4,run3101_20171124044733,EEHEE
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_04_0244_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,run1144_20171124212238,EEHEE
topology_mining_and_Longxing_chip_4,run51_20171123150100,EEHEE
topology_mining_and_Longxing_chip_4,des_pairs_1a3b-042-36-70_0004,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs1A3B079B_A_C_D-33-0pc40_0001,1a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_055_0410_0001_0001,1a3b
topology_mining_and_Longxing_chip_4,relaxed_singles3A1B00centroidA_B_C_D-45-3pc60_0001,3a1b
topology_mining_and_Longxing_chip_4,des__f_singl_0a6b_01_0183_0001_0002,0a6b
topology_mining_and_Longxing_chip_4,relaxed_pairs1A3B016D_C_A_B-42-0o40_0001,1a3b
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_13_0145_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,heeh4702_20171115023129,HEEH
topology_mining_and_Longxing_chip_4,heeh111_20171126231101,HEEH
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_007_0244_0001_0001,1a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a4b_039_0410_0001_0001,1a4b
topology_mining_and_Longxing_chip_4,des__f_pairs_3a0b_027_0347_0001_0001,HHH
topology_mining_and_Longxing_chip_4,relaxed_singles1A3B01centroidC_A_B-31-0p60_0001,1a3b
topology_mining_and_Longxing_chip_4,relaxed_singles0A6B01centroidC_B_A_D_E-50-1pc_0001,0a6b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_055_0014_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,run158_20171123105507,EEHEE
topology_mining_and_Longxing_chip_4,run4380_20171113063933,EHEE
topology_mining_and_Longxing_chip_4,relaxed_singles1A3B05alternateA_B_C_D-32-2p40_0001,1a3b
topology_mining_and_Longxing_chip_4,run2491_20171111175644,EHEE
topology_mining_and_Longxing_chip_4,des__f_singl_1a4b_02_0384_0001_0001,1a4b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_042_0011_0001_0001,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs0A6B004C_B_A_F_E_D-45-1o80_0001,0a6b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_007_0253_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,run3610_20171123045848,EEHEE
topology_mining_and_Longxing_chip_4,run1551_20171122144959,EEHEE
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_02_0360_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs4A0B000B_A_C_D-63-1o40_0001,4h
topology_mining_and_Longxing_chip_4,run105_20171106135348,EHEE
topology_mining_and_Longxing_chip_4,relaxed_pairs1A4B087A_C_D_E_B-48-1pcp60_0001,1a4b
topology_mining_and_Longxing_chip_4,relaxed_singles2A3B09alternateA_B_C_D-42-0o80_0001,2a3b
topology_mining_and_Longxing_chip_4,run3386_20171122220904,EEHEE
topology_mining_and_Longxing_chip_4,des__f_pairs_1a4b_045_0023_0001_0001,1a4b
topology_mining_and_Longxing_chip_4,relaxed_pairs1A3B049A_C_B_D-35-4pcp_0001,1a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a4b_045_0319_0001_0002,1a4b
topology_mining_and_Longxing_chip_4,des_singl_1a3b-Nterm01c-34-C202_0002,1a3b
topology_mining_and_Longxing_chip_4,relaxed_singles1A3B00centroidC_D_A_B-34-2p_0001,1a3b
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_00_0160_0001_0002,1a3b
topology_mining_and_Longxing_chip_4,relaxed_singles1A3B11alternateD_A_B_C-41-2o40_0001,1a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_007_0334_0001_0002,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs1A3B055A_B_D_C-43-2o80_0001,1a3b
topology_mining_and_Longxing_chip_4,des_pairs_1a3b-267-34-722_0004,1a3b
topology_mining_and_Longxing_chip_4,des__f_singl_3a0b_05_0022_0001_0003,HHH
topology_mining_and_Longxing_chip_4,relaxed_singles2A3B13alternateD_C_E_B_A-49-4p80_0001,2a3b
topology_mining_and_Longxing_chip_4,des__f_singl_2a3b_04_0471_0001_0001,2a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a4b_039_0346_0001_0003,1a4b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_007_0218_0001_0002,1a3b
topology_mining_and_Longxing_chip_4,heeh4534_20171112000739,HEEH
topology_mining_and_Longxing_chip_4,heeh2433_20171128160937,HEEH
topology_mining_and_Longxing_chip_4,relaxed_pairs1A2B050B_C_A-34-4pcp60_0001,1a2b
topology_mining_and_Longxing_chip_4,relaxed_pairs5A0B009C_A_B-58-1p_0001,5a0b
topology_mining_and_Longxing_chip_4,heeh2957_20171116121717,HEEH
topology_mining_and_Longxing_chip_4,relaxed_singles2A3B07alternateD_E_B_C_A-42-0o60_0001,2a3b
topology_mining_and_Longxing_chip_4,run177_20171124062411,EEHEE
topology_mining_and_Longxing_chip_4,des_singl_2a3b-Nterm09c-45-D54_0001,2a3b
topology_mining_and_Longxing_chip_4,des__f_singl_2a3b_05_0003_0001_0003,2a3b
topology_mining_and_Longxing_chip_4,heeh3659_20171127163706,HEEH
topology_mining_and_Longxing_chip_4,relaxed_singles1A3B02alternateA_D_C_B-43-0pcp_0001,1a3b
topology_mining_and_Longxing_chip_4,relaxed_singles2A4B00alternateC_D_A_B-48-2p80_0001,2a4b
topology_mining_and_Longxing_chip_4,run2169_20171123051102,EEHEE
topology_mining_and_Longxing_chip_4,heeh1041_20171113114320,HEEH
topology_mining_and_Longxing_chip_4,des_pairs_1a3b-042-35-93_0002,1a3b
topology_mining_and_Longxing_chip_4,heeh66_20171127200238,HEEH
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_112_0222_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,relaxed_singles1A4B02centroidA_B_C_D_E-52-2pcp60_0001,1a4b
topology_mining_and_Longxing_chip_4,des__f_singl_1a4b_06_0203_0001_0003,1a4b
topology_mining_and_Longxing_chip_4,des__f_pairs_2a2b_063_0496_0001_0001,2a2b
topology_mining_and_Longxing_chip_4,relaxed_singles1A3B01centroidB_C_A-33-1p40_0001,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs3A0B036A_C_B-35-1pcp60_0001,HHH
topology_mining_and_Longxing_chip_4,run4969_20171124001215,EEHEE
topology_mining_and_Longxing_chip_4,relaxed_pairs0A6B004C_D_E_F_A_B-54-4pc80_0001,0a6b
topology_mining_and_Longxing_chip_4,relaxed_pairs1A3B016B_A_C_D-31-2o_0001,1a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_267_0494_0001_0002,1a3b
topology_mining_and_Longxing_chip_4,des_pairs_1a4b-045-41-312_0005,1a4b
topology_mining_and_Longxing_chip_4,run158_20171110174801,EHEE
topology_mining_and_Longxing_chip_4,relaxed_pairs1A3B109D_A_B_C-37-1p_0001,1a3b
topology_mining_and_Longxing_chip_4,relaxed_singles3A1B00centroidD_C_B_A-44-2o80_0001,3a1b
topology_mining_and_Longxing_chip_4,run3655_20171124024723,EEHEE
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_128_0205_0001_0001,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs1A4B031E_C_A_B_D-47-3pc40_0001,1a4b
topology_mining_and_Longxing_chip_4,relaxed_pairs3A0B004B_A_C-28-0p60_0001,HHH
topology_mining_and_Longxing_chip_4,run138_20171107022236,EHEE
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_109_0004_0001_0001,1a3b
topology_mining_and_Longxing_chip_4,heeh3941_20171202073859,HEEH
topology_mining_and_Longxing_chip_4,relaxed_singles2A3B13alternateA_B_E_C_D-54-2o60_0001,2a3b
topology_mining_and_Longxing_chip_4,relaxed_singles2A3B01alternateD_C_A_B-42-2pcp40_0001,2a3b
topology_mining_and_Longxing_chip_4,run88_20171122224009,EEHEE
topology_mining_and_Longxing_chip_4,relaxed_singles1A3B02centroidD_C_B_A-35-0pcp_0001,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs3A0B027A_B_C-44-2p60_0001,HHH
topology_mining_and_Longxing_chip_4,des_pairs_1a3b-267-34-781_0005,1a3b
topology_mining_and_Longxing_chip_4,run4696_20171108122409,EHEE
topology_mining_and_Longxing_chip_4,des__f_singl_3a0b_07_0346_0001_0001,HHH
topology_mining_and_Longxing_chip_4,run3564_20171125051602,EEHEE
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_13_0500_0001_0001,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs1A3B040B_A_C_D-34-3o_0001,1a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_218_0337_0001_0001,1a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_128_0419_0001_0002,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs1A4B039E_D_C_B_A-48-1o_0001,1a4b
topology_mining_and_Longxing_chip_4,des_singl_2a2b-Nterm03c-39-C1459_0004,2a2b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_042_0452_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_2a2b_022_0176_0001_0003,2a2b
topology_mining_and_Longxing_chip_4,relaxed_singles1A3B01centroidB_C_A-31-0pcp40_0001,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs0A6B004C_D_E_F_A_B-52-1o60_0001,0a6b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_109_0495_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,relaxed_singles2A2B01centroidA_B-30-0o_0001,2a2b
topology_mining_and_Longxing_chip_4,des_pairs_1a3b-267-34-850_0004,1a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_128_0219_0001_0002,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs1A3B109D_A_B_C-37-1o60_0001,1a3b
topology_mining_and_Longxing_chip_4,relaxed_singles1A3B02centroidB_A_D_C-38-0pcp60_0001,1a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a4b_039_0457_0001_0001,1a4b
topology_mining_and_Longxing_chip_4,relaxed_singles2A3B11centroidA_E_D_C_B-56-3o40_0001,2a3b
topology_mining_and_Longxing_chip_4,relaxed_singles2A3B10centroidA_B_C_D_E-52-3o80_0001,2a3b
topology_mining_and_Longxing_chip_4,des_singl_2a2b-Nterm01ca-36-C1149_0004,2a2b
topology_mining_and_Longxing_chip_4,relaxed_pairs2A3B114A_D_E_B_C-42-0pcp40_0001,2a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs0A6B013C_D_E_F_A_B-58-0o60_0001,0a6b
topology_mining_and_Longxing_chip_4,relaxed_singles1A3B14alternateC_A_B-32-1pc_0001,1a3b
topology_mining_and_Longxing_chip_4,des__f_singl_1a4b_00_0153_0001_0003,1a4b
topology_mining_and_Longxing_chip_4,relaxed_pairs0A6B004C_B_A_F_E_D-44-2o60_0001,0a6b
topology_mining_and_Longxing_chip_4,relaxed_pairs3A0B035A_C_B-46-1pcp60_0001,HHH
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_042_0416_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,run3960_20171124010641,EEHEE
topology_mining_and_Longxing_chip_4,run343_20171122153925,EEHEE
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_109_0356_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a4b_039_0422_0001_0001,1a4b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_007_0478_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,run4423_20171123234641,EEHEE
topology_mining_and_Longxing_chip_4,relaxed_pairs0A6B013C_B_A_F_E_D-43-0pc_0001,0a6b
topology_mining_and_Longxing_chip_4,run4511_20171125041426,EEHEE
topology_mining_and_Longxing_chip_4,des__f_singl_1a3b_13_0313_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,run297_20171124113150,EEHEE
topology_mining_and_Longxing_chip_4,run4089_20171110014419,EHEE
topology_mining_and_Longxing_chip_4,des__f_singl_1a4b_00_0276_0001_0002,1a4b
topology_mining_and_Longxing_chip_4,heeh4597_20171202135102,HEEH
topology_mining_and_Longxing_chip_4,run2927_20171124092124,EEHEE
topology_mining_and_Longxing_chip_4,relaxed_singles1A3B07alternateC_A_B_D-36-1o60_0001,1a3b
topology_mining_and_Longxing_chip_4,des__f_singl_2a2b_04_0249_0001_0002,2a2b
topology_mining_and_Longxing_chip_4,relaxed_pairs4A0B000B_A_C_D-64-1pcp80_0001,4h
topology_mining_and_Longxing_chip_4,des__f_singl_3a1b_00_0486_0001_0003,3a1b
topology_mining_and_Longxing_chip_4,des_pairs_1a3b-267-35-112_0005,1a3b
topology_mining_and_Longxing_chip_4,des__f_singl_2a3b_06_0268_0001_0001,2a3b
topology_mining_and_Longxing_chip_4,run4944_20171123042705,EEHEE
topology_mining_and_Longxing_chip_4,run4943_20171122224937,EEHEE
topology_mining_and_Longxing_chip_4,run3316_20171123053500,EEHEE
topology_mining_and_Longxing_chip_4,des__f_singl_1a4b_06_0398_0001_0002,1a4b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_218_0236_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_128_0495_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,des__f_pairs_1a3b_128_0126_0001_0003,1a3b
topology_mining_and_Longxing_chip_4,relaxed_pairs1A4B087A_C_D_E_B-48-3o60_0001,1a4b
topology_mining_and_Longxing_chip_4,relaxed_pairs3A0B033C_B_A-35-1pc_0001,HHH
topology_mining_and_Longxing_chip_4,run4793_20171123013120,EEHEE
